Iteration,Number of data points,Number of pareto points queries,GD,IGD,MPFE,Point chosen
1,6,0,0.0630874988962266,0.3139166341402513,0.09495098964523417,126
2,7,0,0.1398965971996972,0.29568038667162533,0.29351479380663836,381
3,8,0,0.13358032212745236,0.2801140748071817,0.29351479380663836,751
4,9,0,0.13544507274404544,0.2644320960218263,0.29351479380663836,341
5,10,1,0.11251877336190189,0.27122287457653815,0.29351479380663836,790
6,11,1,0.11251877336190189,0.27122287457653815,0.29351479380663836,60
7,12,1,0.11251877336190189,0.27122287457653815,0.29351479380663836,441
8,13,2,0.0315437494481133,0.2621369544399346,0.09495098964523417,520
9,14,2,0.0315437494481133,0.2621369544399346,0.09495098964523417,484
10,15,2,0.037277238067540644,0.2018870772624562,0.09495098964523417,119
11,16,2,0.069807720982429,0.191411290526102,0.23246013555687084,331
12,17,2,0.069807720982429,0.191411290526102,0.23246013555687084,220
13,18,2,0.09240554188237282,0.19062198725491142,0.23246013555687084,460
14,19,2,0.14966507741741605,0.19062198725491142,0.5504818261627187,619
15,20,2,0.14431331697845523,0.1804478570167775,0.5504818261627187,521
16,21,2,0.14431331697845523,0.1804478570167775,0.5504818261627187,440
17,22,3,0.11581425856820078,0.17142614619373486,0.5504818261627187,579
18,23,3,0.11581425856820078,0.17142614619373486,0.5504818261627187,139
19,24,3,0.11581425856820078,0.17142614619373486,0.5504818261627187,125
20,25,3,0.11581425856820078,0.17142614619373486,0.5504818261627187,628
21,26,3,0.11180137509368075,0.16628045029033356,0.5504818261627187,416
22,27,3,0.11180137509368075,0.16628045029033356,0.5504818261627187,140
23,28,3,0.11180137509368075,0.16628045029033356,0.5504818261627187,0
24,29,3,0.11180137509368075,0.16628045029033356,0.5504818261627187,739
25,30,4,0.10062123758431267,0.15278448450660614,0.5504818261627187,670
26,31,4,0.09578370688878822,0.1519757054513004,0.5504818261627187,110
27,32,4,0.09578370688878822,0.1519757054513004,0.5504818261627187,252
28,33,4,0.09578370688878822,0.1519757054513004,0.5504818261627187,87
29,34,4,0.09578370688878822,0.1519757054513004,0.5504818261627187,398
30,35,5,0.08780173131472253,0.14404523235743283,0.5504818261627187,600
31,36,5,0.08780173131472253,0.14404523235743283,0.5504818261627187,552
32,37,6,0.0810477519828208,0.1317028763933576,0.5504818261627187,808
33,38,7,0.07641612178703233,0.1278974852541818,0.5504818261627187,204
34,39,7,0.07641612178703233,0.1278974852541818,0.5504818261627187,277
35,40,7,0.07641612178703233,0.1278974852541818,0.5504818261627187,236
36,41,7,0.07641612178703233,0.1278974852541818,0.5504818261627187,712
37,42,8,0.03121658645469185,0.12713665285824927,0.23246013555687084,193
38,43,8,0.03121658645469185,0.12713665285824927,0.23246013555687084,221
39,44,8,0.03121658645469185,0.12713665285824927,0.23246013555687084,743
40,45,8,0.03121658645469185,0.12713665285824927,0.23246013555687084,759
41,46,8,0.03121658645469185,0.12713665285824927,0.23246013555687084,479
42,47,8,0.03993048498357209,0.1090509558220366,0.23246013555687084,774
43,48,8,0.03993048498357209,0.1090509558220366,0.23246013555687084,796
44,49,8,0.03993048498357209,0.1090509558220366,0.23246013555687084,503
45,50,8,0.03993048498357209,0.1090509558220366,0.23246013555687084,346
46,51,8,0.03993048498357209,0.1090509558220366,0.23246013555687084,569
47,52,8,0.03993048498357209,0.1090509558220366,0.23246013555687084,630
48,53,8,0.03993048498357209,0.1090509558220366,0.23246013555687084,167
49,54,8,0.03993048498357209,0.1090509558220366,0.23246013555687084,391
50,55,8,0.06108751995873794,0.1090509558220366,0.3149719396607281,612
51,56,8,0.06451878247418849,0.1090509558220366,0.3149719396607281,415
52,57,8,0.06451878247418849,0.1090509558220366,0.3149719396607281,234
53,58,8,0.06451878247418849,0.1090509558220366,0.3149719396607281,478
54,59,8,0.06451878247418849,0.1090509558220366,0.3149719396607281,519
55,60,8,0.06451878247418849,0.1090509558220366,0.3149719396607281,312
56,61,8,0.06451878247418849,0.1090509558220366,0.3149719396607281,367
57,62,8,0.06451878247418849,0.1090509558220366,0.3149719396607281,735
58,63,9,0.06021753030924259,0.10343103644569125,0.3149719396607281,599
59,64,10,0.056453934664914926,0.09649800474840153,0.3149719396607281,58
60,65,10,0.056453934664914926,0.09649800474840153,0.3149719396607281,387
61,66,11,0.053133114978743456,0.09378295096121855,0.3149719396607281,803
62,67,11,0.053133114978743456,0.09378295096121855,0.3149719396607281,629
63,68,11,0.053133114978743456,0.09378295096121855,0.3149719396607281,112
64,69,12,0.03945898935775106,0.09453344863725444,0.3149719396607281,32
65,70,13,0.03726682328232044,0.09287773154688128,0.3149719396607281,506
66,71,13,0.03726682328232044,0.09287773154688128,0.3149719396607281,46
67,72,13,0.03726682328232044,0.09287773154688128,0.3149719396607281,219
68,73,13,0.03726682328232044,0.09287773154688128,0.3149719396607281,103
69,74,13,0.040386496732988615,0.08894011206341164,0.3149719396607281,580
70,75,13,0.040386496732988615,0.08894011206341164,0.3149719396607281,673
71,76,13,0.040386496732988615,0.08894011206341164,0.3149719396607281,74
72,77,13,0.045595696072469286,0.08390738534088671,0.3149719396607281,158
73,78,13,0.045595696072469286,0.08390738534088671,0.3149719396607281,565
74,79,13,0.045595696072469286,0.08390738534088671,0.3149719396607281,134
75,80,13,0.045595696072469286,0.08390738534088671,0.3149719396607281,560
76,81,13,0.045595696072469286,0.08390738534088671,0.3149719396607281,403
77,82,13,0.045595696072469286,0.08390738534088671,0.3149719396607281,567
78,83,13,0.045595696072469286,0.08390738534088671,0.3149719396607281,534
79,84,13,0.04655935692800837,0.08370347749884656,0.3149719396607281,434
80,85,13,0.04804693039101788,0.07865567806749593,0.3149719396607281,337
81,86,13,0.04804693039101788,0.07865567806749593,0.3149719396607281,406
82,87,13,0.04804693039101788,0.07865567806749593,0.3149719396607281,350
83,88,13,0.04804693039101788,0.07865567806749593,0.3149719396607281,95
84,89,13,0.04804693039101788,0.07865567806749593,0.3149719396607281,195
85,90,13,0.04804693039101788,0.07865567806749593,0.3149719396607281,558
86,91,13,0.04804693039101788,0.07865567806749593,0.3149719396607281,45
87,92,13,0.04804693039101788,0.07865567806749593,0.3149719396607281,459
88,93,13,0.04804693039101788,0.07865567806749593,0.3149719396607281,399
89,94,13,0.04804693039101788,0.07865567806749593,0.3149719396607281,297
90,95,13,0.04804693039101788,0.07865567806749593,0.3149719396607281,231
91,96,13,0.04804693039101788,0.07865567806749593,0.3149719396607281,532
92,97,13,0.04804693039101788,0.07865567806749593,0.3149719396607281,692
93,98,13,0.04804693039101788,0.07865567806749593,0.3149719396607281,6
94,99,13,0.04804693039101788,0.07865567806749593,0.3149719396607281,635
95,100,13,0.04804693039101788,0.07865567806749593,0.3149719396607281,212
96,101,13,0.04804693039101788,0.07865567806749593,0.3149719396607281,505
97,102,13,0.04804693039101788,0.07865567806749593,0.3149719396607281,472
98,103,13,0.04804693039101788,0.07865567806749593,0.3149719396607281,480
99,104,13,0.04804693039101788,0.07865567806749593,0.3149719396607281,627
