Iteration,Number of data points,Number of pareto points queries,GD,IGD,MPFE,Point chosen
51,56,6,0.05511566963306862,0.11662675746577744,0.23915259336675757,50
52,57,6,0.05511566963306862,0.11662675746577744,0.23915259336675757,288
53,58,6,0.05511566963306862,0.11662675746577744,0.23915259336675757,720
54,59,6,0.05511566963306862,0.11662675746577744,0.23915259336675757,525
55,60,6,0.054639529133834096,0.11641860521642716,0.23915259336675757,538
56,61,6,0.054639529133834096,0.11641860521642716,0.23915259336675757,113
57,62,6,0.054639529133834096,0.11641860521642716,0.23915259336675757,267
58,63,6,0.05383101610196268,0.11604814553347774,0.23915259336675757,679
59,64,6,0.0547721862999337,0.11604814553347774,0.23915259336675757,419
60,65,6,0.0547721862999337,0.11604814553347774,0.23915259336675757,13
61,66,6,0.0547721862999337,0.11604814553347774,0.23915259336675757,65
62,67,6,0.05391931210658123,0.09735527344734925,0.23915259336675757,598
63,68,6,0.05864738487097114,0.09735527344734925,0.23915259336675757,38
64,69,6,0.05864738487097114,0.09735527344734925,0.23915259336675757,251
65,70,6,0.05864738487097114,0.09735527344734925,0.23915259336675757,513
66,71,6,0.05864738487097114,0.09735527344734925,0.23915259336675757,611
67,72,6,0.05864738487097114,0.09735527344734925,0.23915259336675757,523
68,73,6,0.05864738487097114,0.09735527344734925,0.23915259336675757,370
69,74,6,0.05864738487097114,0.09735527344734925,0.23915259336675757,776
70,75,6,0.05824867834764064,0.09720538631998574,0.23915259336675757,636
71,76,6,0.05824867834764064,0.09720538631998574,0.23915259336675757,561
72,77,6,0.05824867834764064,0.09720538631998574,0.23915259336675757,704
73,78,6,0.05824867834764064,0.09720538631998574,0.23915259336675757,45
74,79,7,0.05547493175965775,0.09624351329329872,0.23915259336675757,769
75,80,8,0.05295334395240058,0.09365426358615812,0.23915259336675757,668
76,81,8,0.05295334395240058,0.09365426358615812,0.23915259336675757,257
77,82,8,0.05295334395240058,0.09365426358615812,0.23915259336675757,353
78,83,8,0.05295334395240058,0.09365426358615812,0.23915259336675757,606
79,84,8,0.05295334395240058,0.09365426358615812,0.23915259336675757,89
80,85,8,0.05295334395240058,0.09365426358615812,0.23915259336675757,336
