Number of ramps,mse,nlpd,Ramp chosen,Iteration
0,,,69,0.0
1,,,67,0.0
2,,,55,0.0
3,,,40,0.0
4,,,1,0.0
6,0.05980707272956996,-3.492321192590566,20,1.0
7,0.06034680273447039,-3.3633073892417835,22,2.0
8,0.053309486606654896,-4.154474035317071,35,3.0
9,0.05086549484572826,-4.277090353954298,44,4.0
10,0.05111712455020148,-4.309045149571392,85,5.0
11,0.05178215624770009,-4.346850758837942,48,6.0
12,0.049206949897066254,-4.497998779924487,76,7.0
13,0.04567907719399676,-4.513425540742605,30,8.0
14,0.04555008545740237,-4.647088564186135,6,9.0
15,0.04262022648974458,-4.830188404365908,81,10.0
16,0.03966491885706413,-4.936309070412013,15,11.0
17,0.039634745753370164,-4.79972365519636,83,12.0
18,0.024209443334502527,-5.393786251448,72,13.0
19,0.017802485511847654,-5.805306306563762,10,14.0
20,0.016755064437429544,-5.6933881412923455,25,15.0
21,0.013496558717547853,-5.8733280258667895,82,16.0
22,0.013625362989527934,-5.848743991860796,57,17.0
23,0.010952534724918596,-6.1406619486583605,52,18.0
24,0.011421814648726516,-5.866688141887021,37,19.0
25,0.012104563648990806,-5.848091434912912,64,20.0
26,0.01114642337753433,-5.9141361730761846,46,21.0
27,0.010456599436881563,-6.108898123472398,61,22.0
28,0.009859323242274011,-6.16969866544698,4,23.0
29,0.008086361165014643,-6.4171612651745535,28,24.0
30,0.008345315761423675,-6.580455158511684,74,25.0
31,0.009645265463954214,-6.715066300157919,13,26.0
32,0.00925039105951084,-6.748188891822524,66,27.0
33,0.00882055076182382,-6.975228903794064,39,28.0
34,0.012760358669775124,-6.613431048938009,43,29.0
35,0.014831403650406428,-6.6316716267442875,34,30.0
36,0.010530993772739148,-6.97109413222048,19,31.0
37,0.00943493319775616,-7.228871246531151,49,32.0
38,0.009454957475142437,-7.462636509760539,7,33.0
39,0.007806826429201243,-7.722807372965375,84,34.0
40,0.009864300574228716,-7.414022578908367,71,35.0
41,0.0098913479958833,-7.475272806877933,53,36.0
42,0.005979856476265444,-7.913388129934666,3,37.0
43,0.005960690304048685,-8.081168494934204,27,38.0
44,0.008893382009571486,-7.832053943700283,77,39.0
45,0.00961461733026484,-7.807167530604377,58,40.0
46,0.007790377768614884,-7.951843389560153,31,41.0
47,0.008739107585478417,-7.771272139503148,12,42.0
48,0.006941553251132682,-8.10388996275302,17,43.0
49,0.005268821243366918,-8.10866829801442,63,44.0
50,0.0052886236168382325,-8.122149848505952,21,45.0
51,0.007033172608114921,-7.9251629461079265,80,46.0
52,0.007811059936548504,-7.813104667017815,62,47.0
53,0.005475883688299891,-8.185315015555146,2,48.0
54,0.007454196300270668,-7.869130597740743,26,49.0
55,0.004717162859613505,-8.317663778438826,75,50.0
56,0.006728918319266472,-8.009086433304079,68,51.0
57,0.003000490207854666,-8.781768173012793,38,52.0
58,0.0033319988865123423,-8.57444138949823,47,53.0
59,0.002433789674036337,-9.05303713141459,42,54.0
60,0.005383213576211081,-8.274689928595857,56,55.0
61,0.005833394032646572,-8.142350417632864,29,56.0
62,0.005515799168926673,-8.33454958534023,8,57.0
63,0.005480771609011096,-8.2127017441799,73,58.0
64,0.005720662792794128,-8.450215618127672,36,59.0
65,0.005720498199374397,-8.456708991290046,51,60.0
66,0.0056263566040367,-8.529825044377478,14,61.0
67,0.005147165207978903,-8.621264069772117,11,62.0
68,0.005024777318764108,-8.662568465380419,23,63.0
69,0.0050674097123554985,-8.778614735796582,0,64.0
70,0.00484592916687515,-8.839303745067824,41,65.0
71,0.003385290231875688,-8.972896586592837,18,66.0
72,0.003646378892323116,-8.855789895175693,59,67.0
73,0.0033881932219734083,-8.789049089682685,32,68.0
74,0.002596269365025361,-8.786573736300396,78,69.0
75,0.0027311933047610413,-7.884225859008561,5,70.0
76,0.002615703404030698,-8.213546543140714,9,71.0
77,0.0023980118403765845,-8.267057280029158,16,72.0
78,0.0018090516989500585,-9.067043946402247,50,73.0
79,0.001821361742221143,-8.62882826353568,24,74.0
80,0.0012892153031727842,-9.276431000204251,33,75.0
81,0.0011823536540363036,-8.611811442949696,54,76.0
82,0.0011868969409656014,-8.937263262756755,45,77.0
83,0.0010503974120254095,-8.624576851197089,60,78.0
84,0.0008531845108739438,-8.640573270850817,65,79.0
85,0.0007120655129528219,-8.694216193792691,70,80.0
86,0.0005876277280362303,-8.628864500499901,79,81.0
87,0.00037436960657771524,-8.794477998975761,86,82.0
