Number of ramps,mse,nlpd,Ramp chosen,Iteration
0,,,82,0.0
1,,,21,0.0
2,,,81,0.0
3,,,5,0.0
4,,,50,0.0
6,0.06204771223196878,-2.2295250858357023,19,1.0
7,0.05743681662766398,-1.6972732248443134,15,2.0
8,0.041590608741210025,-3.9512225598123916,12,3.0
9,0.042535455542508864,-2.9630759803653453,73,4.0
10,0.04238110313495743,-3.953396440107697,30,5.0
11,0.04240910638226895,-3.8199376809063326,6,6.0
12,0.042110963470151266,-3.789193374803395,37,7.0
13,0.028338101062534427,-5.089860365002425,22,8.0
14,0.032618442500167336,-5.186704014316371,3,9.0
15,0.028117178671025072,-5.353974489300953,27,10.0
16,0.027868846167269447,-5.607938308884872,76,11.0
17,0.025041248002920607,-5.779565625138439,66,12.0
18,0.022799128327710604,-6.008784453155109,57,13.0
19,0.023081050078468678,-5.933696199689982,52,14.0
20,0.02271595500342183,-5.7359028183923195,43,15.0
21,0.018124258412874777,-5.978487683057346,70,16.0
22,0.013482929487800787,-6.30923798597768,39,17.0
23,0.0121768788832602,-6.32958265055023,34,18.0
24,0.012936214052169489,-6.29219156328324,46,19.0
25,0.012475499490897084,-6.379321504573789,61,20.0
26,0.012114889512399932,-6.406249300222149,55,21.0
27,0.017155558935445712,-6.301730310928678,48,22.0
28,0.014732365312566314,-6.491788026242689,1,23.0
29,0.01306374601967037,-6.725284564788421,64,24.0
30,0.017476655756648623,-6.670189706340288,25,25.0
31,0.01060584091605809,-7.051112190772587,10,26.0
32,0.010626591782501209,-6.891325515727402,85,27.0
33,0.010444069753709102,-6.902364182792377,84,28.0
34,0.012490490418066321,-6.830057112933484,35,29.0
35,0.010935484327127643,-7.014160191873631,40,30.0
36,0.008415183282894485,-7.262227838573814,74,31.0
37,0.00938218760670991,-7.227598952829232,29,32.0
38,0.013341686174019365,-7.110712861313427,44,33.0
39,0.011589256896051472,-7.227644983278637,67,34.0
40,0.009326887389570965,-7.482570490313411,71,35.0
41,0.012484220360094575,-7.328468237758624,77,36.0
42,0.005861373185246659,-7.811399504995021,17,37.0
43,0.007389317305872202,-7.731409033262119,58,38.0
44,0.0076901301136169595,-7.6829927725631,53,39.0
45,0.006185524829725142,-7.881716401932597,31,40.0
46,0.005531042813766105,-8.027441198259067,7,41.0
47,0.0048032854387688685,-8.093245033848758,13,42.0
48,0.007708547992854507,-7.583986571339032,80,43.0
49,0.0044789680657446795,-8.235526094509359,63,44.0
50,0.003830836157289863,-8.398854513492761,20,45.0
51,0.007624023535430776,-7.781693269932465,47,46.0
52,0.007386061444918027,-7.851815663571281,2,47.0
53,0.00678911685272379,-7.883592792212562,60,48.0
54,0.00856630069806642,-7.766404531290905,26,49.0
55,0.006385563606862676,-8.083776878581421,75,50.0
56,0.006443265966269243,-8.092187870722833,65,51.0
57,0.007275028116617138,-8.01853961411656,38,52.0
58,0.0072242418481943795,-8.054427033840673,56,53.0
59,0.007408245814444947,-8.056783770002589,33,54.0
60,0.006270667028250128,-8.209128664221772,42,55.0
61,0.007015600418581691,-8.137197276812051,51,56.0
62,0.0069805913167938416,-8.23355070625711,72,57.0
63,0.0069443473048141635,-8.223081760011423,83,58.0
64,0.006800434236551113,-8.297868963379447,14,59.0
65,0.006138248347148153,-8.35834783870749,9,60.0
66,0.005853752353537329,-8.426877789561555,4,61.0
67,0.005933913828122591,-8.463179706793795,28,62.0
68,0.006297720751741379,-8.451937910153314,45,63.0
69,0.0063005136022394465,-8.51457343511198,59,64.0
70,0.005534122831816165,-8.660827594249326,8,65.0
71,0.004743726183218076,-8.729280656537156,0,66.0
72,0.004553745337220914,-8.736270082874595,36,67.0
73,0.004559419269285678,-8.867837004369262,11,68.0
74,0.0044881040854397565,-8.9129945139308,78,69.0
75,0.0037574306188935887,-9.031463461496422,32,70.0
76,0.002545798399189691,-9.22014561355776,23,71.0
77,0.0023187036918221023,-9.34042292500681,54,72.0
78,0.002293351290476697,-9.396713453705196,41,73.0
79,0.001784597642124014,-9.147617210728717,16,74.0
80,0.0017056223160876105,-9.177569247491883,18,75.0
81,0.0014752134330419811,-9.230570943439954,24,76.0
82,0.0012934205244058573,-9.269982781750846,68,77.0
83,0.0008010821705444894,-9.247625705372124,49,78.0
84,0.0007064556118715312,-9.638103364627426,62,79.0
85,0.0006074494984524068,-9.577703263123535,69,80.0
86,0.0003912966471951151,-9.604413389322298,79,81.0
87,0.0002488452883125176,-9.613005423287621,86,82.0
