Number of ramps,mse,nlpd,Ramp chosen,Iteration
0,,,43,0.0
1,,,4,0.0
2,,,77,0.0
3,,,20,0.0
4,,,50,0.0
6,0.06635572500841241,-3.2092750120285634,22,1.0
7,0.05775599035230692,-3.9650539336042847,85,2.0
8,0.05882317246961182,-3.949009520029669,35,3.0
9,0.05864660437517195,-4.0227440686455855,39,4.0
10,0.05422682714702453,-4.322449428613139,57,5.0
11,0.05103384204317929,-4.292462664084368,30,6.0
12,0.049935212375132335,-4.3460157407562265,66,7.0
13,0.05128220666873632,-4.454833840116676,72,8.0
14,0.04540101783390672,-4.64234439702033,15,9.0
15,0.04589046928842473,-4.734692613949483,53,10.0
16,0.04454133463718236,-4.776122978849286,48,11.0
17,0.0445348818935838,-4.96154075244717,2,12.0
18,0.04163822820564333,-5.059338950279156,25,13.0
19,0.03852974343540896,-5.165784992397304,10,14.0
20,0.037031329076861796,-5.00897699287456,6,15.0
21,0.029997411144351057,-5.289023121364921,75,16.0
22,0.02186189868661419,-5.610399023535463,61,17.0
23,0.02509507160617588,-5.604384758668222,45,18.0
24,0.020920576406184086,-5.831686220368494,37,19.0
25,0.011223962339001147,-6.269560942358319,82,20.0
26,0.011626276657750248,-6.347078937269148,55,21.0
27,0.017928461836536146,-6.153312815804101,70,22.0
28,0.014501452598279063,-6.359264045157461,28,23.0
29,0.012348785339361708,-6.624862018073821,64,24.0
30,0.010259849520298417,-6.834253169986658,13,25.0
31,0.011993271916936612,-6.747254393734727,52,26.0
32,0.016273576623071974,-6.431966086623857,1,27.0
33,0.015061001329268962,-6.547281871372349,34,28.0
34,0.016138376324290243,-6.66941690188954,19,29.0
35,0.017796425139867043,-6.738241406372399,40,30.0
36,0.01725917850882549,-6.8079640230254865,74,31.0
37,0.017404848547950404,-6.913217977047411,26,32.0
38,0.016659184889523906,-6.9691944087800115,58,33.0
39,0.014290211710942956,-7.075457392238011,47,34.0
40,0.013876904250016423,-7.122181081496146,31,35.0
41,0.011580529596186325,-7.367885967775713,67,36.0
42,0.010880983078695672,-7.471252756647632,7,37.0
43,0.007579013736870832,-7.748764726970236,12,38.0
44,0.011183107046065328,-7.478838620270325,17,39.0
45,0.006328912103062676,-7.620609440459937,81,40.0
46,0.009559921947563116,-7.3626687969808575,84,41.0
47,0.009110697308228251,-7.355850127773192,80,42.0
48,0.008927126437799185,-7.407611925299006,78,43.0
49,0.008759096477735174,-7.404557803048556,62,44.0
50,0.008734224151242797,-7.27928132134314,21,45.0
51,0.008686918754258099,-7.4833793573741385,71,46.0
52,0.008573859317398527,-7.505854627313537,44,47.0
53,0.008264011291178326,-7.455400793400547,60,48.0
54,0.00780619802639336,-7.722437072711336,65,49.0
55,0.007681103147069289,-7.7343868681808905,41,50.0
56,0.007046492251485689,-7.607597526705851,59,51.0
57,0.0063188168735856904,-7.682775351510285,32,52.0
58,0.005206892439955257,-7.851184814350427,8,53.0
59,0.004502558163602697,-7.987402609079823,0,54.0
60,0.004209929586173236,-8.028675266260336,33,55.0
61,0.0038208047293338313,-8.139263538692022,27,56.0
62,0.0037007439608338043,-7.8388365856967654,54,57.0
63,0.003654090682975542,-8.016685630843643,83,58.0
64,0.003551466866763811,-8.055693199697297,16,59.0
65,0.003364604027928509,-7.9848666698158,46,60.0
66,0.003318766938645502,-8.132179143706459,11,61.0
67,0.0032470062753909494,-8.157236839469903,69,62.0
68,0.003050932906214059,-8.254367756215826,3,63.0
69,0.002960818131018312,-8.361134944431463,5,64.0
70,0.002832397306307065,-8.422952723394436,23,65.0
71,0.002653875486792414,-8.54373017601199,9,66.0
72,0.0025035617382006426,-8.589117132178892,14,67.0
73,0.002386534289105287,-8.27626800596891,18,68.0
74,0.0024674476550674554,-7.258117887340207,36,69.0
75,0.0021517020532218043,-9.253504495549052,24,70.0
76,0.0025341191200826977,-8.496963671890962,68,71.0
77,0.001611314863504293,-7.608695027965208,29,72.0
78,0.001379354440581551,-7.703635368485507,38,73.0
79,0.001341285204927653,-8.082966238741172,76,74.0
80,0.001124345795556886,-7.574751135942115,42,75.0
81,0.0010274167543702628,-8.490525407841975,49,76.0
82,0.0009267336232121745,-8.504237991476923,51,77.0
83,0.0007120601748273141,-8.500766269889965,56,78.0
84,0.0005839843176070686,-8.77871477396756,63,79.0
85,0.00047019016106108195,-8.39446132787194,73,80.0
86,0.00039507960495923337,-8.756513610574714,79,81.0
87,0.0003700678955905611,-8.697953555174186,86,82.0
