Number of ramps,mse,nlpd,Ramp chosen,Iteration
0,,,69,0.0
1,,,67,0.0
2,,,55,0.0
3,,,40,0.0
4,,,1,0.0
6,0.06177354377992206,-3.4215672660834215,22,1.0
7,0.06258408979682384,-3.787634080934552,20,2.0
8,0.05572455047967804,-4.058474310408049,35,3.0
9,0.05494448754381661,-4.1245082625061285,76,4.0
10,0.05284758224130938,-4.145679328825746,85,5.0
11,0.05223602755412465,-4.179637582891957,53,6.0
12,0.052047895784713825,-4.284418348788935,26,7.0
13,0.05101484956349763,-4.350939015935094,81,8.0
14,0.051955089274679234,-4.395698374673652,58,9.0
15,0.04831583045231498,-4.532642046504802,30,10.0
16,0.045589176419115696,-4.775229722984095,6,11.0
17,0.04434561013261403,-4.899517717365958,48,12.0
18,0.04450356681629962,-4.997987860516877,44,13.0
19,0.04160498207113465,-5.12249886451315,15,14.0
20,0.041399648044762725,-5.003996785597959,83,15.0
21,0.03369381576481613,-5.183248612946874,72,16.0
22,0.031535938694505154,-5.224387290964468,62,17.0
23,0.03083611159425544,-5.250866904712243,11,18.0
24,0.030196495089981294,-5.330964626158239,65,19.0
25,0.01174124538616511,-6.210591032250447,82,20.0
26,0.007635596213255489,-6.631490587635218,84,21.0
27,0.006544498781053914,-7.147736186149368,12,22.0
28,0.009989940311841453,-6.640566682815999,37,23.0
29,0.0059539924812318,-7.054140108380704,28,24.0
30,0.004960546981803426,-7.048706792818315,63,25.0
31,0.0071372200152214176,-7.200203519869568,46,26.0
32,0.007609245664705461,-7.110376501610466,4,27.0
33,0.00710434492410477,-7.306595188502345,74,28.0
34,0.007118895434497024,-7.43603333104586,43,29.0
35,0.005880323474510285,-7.742038640599841,25,30.0
36,0.008231428823049313,-7.573724928090386,39,31.0
37,0.003350754746345936,-8.126573684395215,34,32.0
38,0.0044149867926250854,-8.076173718213855,57,33.0
39,0.004257956683917825,-7.772818456052253,52,34.0
40,0.0032741930785783213,-7.438749015508115,66,35.0
41,0.0045860099095852945,-7.424457867080984,19,36.0
42,0.0032566733449694097,-7.620749970122956,13,37.0
43,0.006484683894308769,-7.3641445992789984,7,38.0
44,0.0031453478097066044,-7.764765220739421,71,39.0
45,0.003149221377543824,-7.780652573792309,2,40.0
46,0.004049349524343502,-7.824375757082608,77,41.0
47,0.0027033357691944706,-7.9728179288496515,61,42.0
48,0.002763805822003877,-7.954703252674785,31,43.0
49,0.0025621380097794414,-7.9131526335834135,17,44.0
50,0.004230809265705117,-7.778743057609801,49,45.0
51,0.004505125930757506,-7.837397641074889,9,46.0
52,0.0036798922318272546,-8.020605273021719,21,47.0
53,0.0029621598098517267,-8.08192232483014,75,48.0
54,0.0025324030776396386,-7.9797509939579845,59,49.0
55,0.008226885519355541,-8.057352914557933,80,50.0
56,0.009551222678849128,-8.146100059712401,14,51.0
57,0.007687117618567334,-8.123809666591375,41,52.0
58,0.006023538407290339,-8.28037897260598,5,53.0
59,0.006604448987202138,-8.262392665956483,29,54.0
60,0.008380860075872595,-8.054053007230399,3,55.0
61,0.005541841583724499,-8.671005367174121,50,56.0
62,0.00931822303591526,-8.191368433293325,73,57.0
63,0.009592965718738845,-8.220846806242124,33,58.0
64,0.00907009096088144,-8.315774972403354,51,59.0
65,0.008385956052170723,-8.426453094298841,24,60.0
66,0.007889246474989486,-8.49838220989383,45,61.0
67,0.007596621477377559,-8.560172964975273,64,62.0
68,0.007829004263769361,-8.64057910347736,23,63.0
69,0.007668616394506422,-9.063904949448364,27,64.0
70,0.007358858551276237,-8.970039917852974,70,65.0
71,0.007455966485289555,-8.966250940998052,36,66.0
72,0.007529382012876863,-9.156856922349565,68,67.0
73,0.006433112117289932,-9.280621088480816,54,68.0
74,0.006362082145199616,-9.371722486704526,10,69.0
75,0.005893370057686466,-9.112519871918758,8,70.0
76,0.004413149270463754,-9.073496052513434,0,71.0
77,0.004182544448380143,-9.334263117476784,78,72.0
78,0.0032900197267982947,-9.247253661332957,32,73.0
79,0.0017812252582232052,-9.517281734638937,16,74.0
80,0.001718145414115711,-9.756375959386384,18,75.0
81,0.0013779669776174087,-9.649699362494378,38,76.0
82,0.0012864556905410416,-9.567625663740586,42,77.0
83,0.0010335470934215163,-9.686062099406717,47,78.0
84,0.0009540836571728355,-9.647191245482679,56,79.0
85,0.0007907171303118162,-9.55900006996432,60,80.0
86,0.0004972678239375361,-9.729166630322545,79,81.0
87,0.00032918396535692497,-9.700390132634181,86,82.0
