Number of ramps,mse,nlpd,Ramp chosen,Iteration
0,,,15,0.0
1,,,67,0.0
2,,,7,0.0
3,,,20,0.0
4,,,86,0.0
6,0.05942180311711588,-3.541599237669782,22,1.0
7,0.06468189082903461,-3.416911430769977,35,2.0
8,0.058768649524416586,-3.6192120926488474,53,3.0
9,0.05711814106954633,-3.720894606503139,26,4.0
10,0.053761476630542676,-3.8488754662749782,84,5.0
11,0.01936033179614146,-3.194697547405073,69,6.0
12,0.017468828169821808,-3.132915193306578,82,7.0
13,0.0347800501503897,-3.136517689568587,12,8.0
14,0.01551609532407426,-3.5590070629819186,63,9.0
15,0.024342536774635527,-4.093858516425032,81,10.0
16,0.012099971878783394,-1.4301369819826852,28,11.0
17,0.011640496427968815,-5.031231090743335,48,12.0
18,0.026421323207720504,-5.97412438480358,76,13.0
19,0.012439040240767852,-4.966021558207625,30,14.0
20,0.012068085029899865,-4.115390761332739,43,15.0
21,0.01865938845100409,-6.384111298694705,39,16.0
22,0.011518088587852438,-6.631421329208439,3,17.0
23,0.013363616829927986,-6.367344557641621,72,18.0
24,0.012522764291190518,-6.438137461465404,57,19.0
25,0.009377253193269038,-6.257569826422223,66,20.0
26,0.007211167011798236,-6.719176493626394,6,21.0
27,0.0055372478690081895,-6.962522284468422,25,22.0
28,0.005377790986734934,-7.339995809359879,34,23.0
29,0.007545402735557006,-7.0542082156317525,55,24.0
30,0.006614154213816926,-7.124612822573612,46,25.0
31,0.004734682041102392,-7.546363816963973,37,26.0
32,0.004657530734710673,-7.820503762213481,74,27.0
33,0.005864130419729689,-7.512790857445568,1,28.0
34,0.00460338923660763,-7.849006662370212,52,29.0
35,0.005490056146907838,-7.426239552930132,61,30.0
36,0.004320328515311689,-7.052851353230389,10,31.0
37,0.004419210197795316,-7.3040908268418585,83,32.0
38,0.009779716378317175,-6.86182254118166,19,33.0
39,0.005412717827001347,-7.330175899827164,58,34.0
40,0.004941074262853688,-7.250709304622621,71,35.0
41,0.0035865649255438416,-7.296349562380098,17,36.0
42,0.00488328155003214,-7.287445764331523,40,37.0
43,0.00528777580436719,-7.18256216018561,77,38.0
44,0.003175835567862991,-7.142730238209225,4,39.0
45,0.003175081324348686,-7.020266354801446,64,40.0
46,0.003169513972341489,-7.098543889499607,31,41.0
47,0.0031308287410676274,-7.18218464266034,45,42.0
48,0.0032226758912108433,-7.222504512154464,50,43.0
49,0.003755226382016142,-7.820574420073327,14,44.0
50,0.0072103984275189385,-7.825824744637846,21,45.0
51,0.006180724529007286,-7.7491835626333065,2,46.0
52,0.006350519819275108,-7.591616842575536,80,47.0
53,0.004397634656726705,-7.925314545503637,60,48.0
54,0.0058234439135531006,-7.725475379601023,47,49.0
55,0.002802615097273806,-8.073683371234175,75,50.0
56,0.002986957697077769,-8.105994261518129,65,51.0
57,0.0067702719506012,-8.05512287442493,42,52.0
58,0.0023468363185213123,-7.865540408628882,8,53.0
59,0.004816247465187277,-8.10475127938734,11,54.0
60,0.005406489473082462,-8.237295050625628,41,55.0
61,0.0038919622620125797,-8.243783429888664,56,56.0
62,0.0028570525552875274,-8.048999055739937,32,57.0
63,0.003129907783081355,-8.294670919823423,70,58.0
64,0.0022719395466166766,-8.561340930009132,24,59.0
65,0.0021432204131056985,-8.749474224398318,51,60.0
66,0.002540555981056042,-9.350508011656684,33,61.0
67,0.004799078829808396,-8.517713782942455,13,62.0
68,0.0019502863811939684,-8.876091834438803,79,63.0
69,0.004479863419244549,-8.668484607056136,0,64.0
70,0.003299447975947059,-8.900250131035,23,65.0
71,0.004033355946755756,-9.07391097294501,36,66.0
72,0.003777347912999532,-9.14463483267665,54,67.0
73,0.003721321143553001,-9.172037643245956,27,68.0
74,0.003832297524871717,-9.474609941482273,5,69.0
75,0.004495499079125898,-9.08800398270013,78,70.0
76,0.0037466233133267575,-9.254666420678042,59,71.0
77,0.0027413863151780336,-9.379119977907617,68,72.0
78,0.0018529408159419873,-9.439634366350795,9,73.0
79,0.0016837032374140055,-9.480824350053227,16,74.0
80,0.0016137685528726266,-9.572816207134725,18,75.0
81,0.0012496728208340419,-9.637413021494577,29,76.0
82,0.0010860916221102797,-9.712870814239668,38,77.0
83,0.001001991261894475,-9.707692758574181,44,78.0
84,0.0007183031729624295,-9.762542405801044,49,79.0
85,0.0005956306618378304,-9.881384199762467,62,80.0
86,0.00040242494299097813,-9.92473569009874,73,81.0
87,0.000267356745442738,-10.038587445596603,85,82.0
