Number of ramps,mse,nlpd,Ramp chosen,Iteration
0,,,43,0.0
1,,,4,0.0
2,,,77,0.0
3,,,20,0.0
4,,,50,0.0
6,0.06763176205209735,-3.240827939608493,22,1.0
7,0.058918899808862134,-3.927687219631251,85,2.0
8,0.05994693795476078,-3.9143849257533554,81,3.0
9,0.062126101465820247,-3.928915590708483,35,4.0
10,0.06273434505769833,-3.968091264796158,53,5.0
11,0.06300213026504035,-4.0179808825212415,2,6.0
12,0.06354545708174475,-4.056597661386863,71,7.0
13,0.06432076214682954,-4.101632125508916,40,8.0
14,0.05956314316587579,-4.243190585433759,26,9.0
15,0.0602662702774225,-4.269400187395899,66,10.0
16,0.05117932722037466,-4.713973965316892,58,11.0
17,0.04732269461648002,-4.838427908637272,30,12.0
18,0.04324284900009192,-5.0462727516554935,15,13.0
19,0.04117749709989631,-4.99241637304918,75,14.0
20,0.037982452282770335,-5.139389252063089,48,15.0
21,0.03631953971585501,-5.279867689283461,6,16.0
22,0.03723033719164522,-5.400679169125643,11,17.0
23,0.03418983011957733,-5.465962961854214,56,18.0
24,0.034747144781374605,-5.5171328290070525,38,19.0
25,0.032162052725650425,-5.650775252428759,73,20.0
26,0.01995363710320185,-6.163121599216277,84,21.0
27,0.022209467671399863,-6.107414230576279,61,22.0
28,0.017016348282768323,-6.30250348172031,64,23.0
29,0.022488192825868815,-6.274284713753527,45,24.0
30,0.0169339157759231,-6.612561972710875,28,25.0
31,0.020316088219055346,-6.585810731472534,13,26.0
32,0.017556385116914697,-6.759460062306707,10,27.0
33,0.015993464665246083,-6.515662706030338,36,28.0
34,0.01522915517623209,-6.7512780095633245,54,29.0
35,0.01481403765515537,-6.8577742065416665,25,30.0
36,0.014030546123563558,-7.036279428291183,1,31.0
37,0.01523098949408095,-7.107105239981917,70,32.0
38,0.014578517254365077,-7.189685100846829,7,33.0
39,0.00929226907354082,-7.5895598502803425,82,34.0
40,0.009851576383181706,-7.71431770838663,19,35.0
41,0.008784010244882318,-7.885661249791213,31,36.0
42,0.007805570637146974,-8.004093331752859,67,37.0
43,0.007555866232057876,-7.97628369510156,47,38.0
44,0.0052684614776944486,-8.293103616345793,76,39.0
45,0.0069397708663908285,-8.069719230021244,52,40.0
46,0.009224823557104448,-7.575706486401665,16,41.0
47,0.0041116789752713425,-7.923552019271118,34,42.0
48,0.003891386836153971,-8.042508593004849,39,43.0
49,0.0030727176937295725,-7.694636994435619,57,44.0
50,0.0036469049797434776,-7.808505436462569,63,45.0
51,0.0030146680311861538,-7.878776446591968,21,46.0
52,0.004763392279151215,-7.691473187400871,72,47.0
53,0.0039004100299649806,-8.018245338479815,60,48.0
54,0.0029099705853544993,-7.719671793657037,83,49.0
55,0.0029741802672413175,-7.877844120151022,32,50.0
56,0.0037978913500579066,-8.241992096702095,80,51.0
57,0.0037868861166021877,-8.22870702212727,44,52.0
58,0.0035369392229589293,-8.198231841425176,68,53.0
59,0.003225418644143571,-8.367405755364603,8,54.0
60,0.0030886449525918654,-8.303637112781992,3,55.0
61,0.005990966876294244,-8.308409151085646,14,56.0
62,0.007767039734216988,-8.31465087287327,27,57.0
63,0.00658878117485863,-8.334222193797435,12,58.0
64,0.005718565513639343,-8.397841818568208,46,59.0
65,0.00600136493754307,-8.505180402235368,37,60.0
66,0.004891889394635556,-8.58175233887718,55,61.0
67,0.006716033386296995,-8.755503884809556,74,62.0
68,0.005728785803125412,-8.785443425204988,17,63.0
69,0.006280838220563363,-8.618815715977478,23,64.0
70,0.004678775144732207,-9.260352437893818,41,65.0
71,0.0052071683864924456,-9.035503092289936,0,66.0
72,0.0049107477576676795,-9.102759962244255,78,67.0
73,0.00413100957469953,-9.135231358111804,5,68.0
74,0.0040300793378942905,-9.209754905040695,9,69.0
75,0.003850762418943338,-9.373152091640984,59,70.0
76,0.0030080097394102477,-9.381460058011816,18,71.0
77,0.0026190344285172158,-9.462461137272259,24,72.0
78,0.0023401352300938395,-9.48863969150176,29,73.0
79,0.0022071439556693288,-9.523315162299637,33,74.0
80,0.0017242766279587408,-9.578206902692065,42,75.0
81,0.0014653579622023055,-9.625550513290834,49,76.0
82,0.0013380183362739551,-9.749744370802299,51,77.0
83,0.0010660252840741047,-9.790175262189459,62,78.0
84,0.0008763123858898098,-9.842705660421329,65,79.0
85,0.0007984578178391231,-9.887229957126822,69,80.0
86,0.0004794055413393167,-9.94183855377995,79,81.0
87,0.00027033369823571923,-9.996013723137905,86,82.0
