Iteration,Number of data points,Best value,Point chosen
1,6,0.2576684928416251,
2,6,0.2576684928416251,
3,6,1.9040359521923187,
4,6,1.9040359521923187,
5,6,1.9040359521923187,
6,6,1.9040359521923187,
7,6,1.9040359521923187,
8,6,2.5759262646648087,
9,6,2.5759262646648087,
10,6,2.5759262646648087,
11,6,2.5759262646648087,
12,6,2.5759262646648087,
13,6,2.5759262646648087,
14,6,2.5759262646648087,
15,6,2.5759262646648087,
16,6,2.5759262646648087,
17,6,2.5759262646648087,
18,6,2.5759262646648087,
19,6,2.5759262646648087,
20,6,2.5759262646648087,
21,6,2.5759262646648087,
22,6,2.5759262646648087,
23,6,2.5759262646648087,
24,6,2.5759262646648087,
25,6,2.5759262646648087,
26,6,2.5759262646648087,
27,6,2.5759262646648087,
28,6,2.5759262646648087,
29,6,2.5759262646648087,
30,6,2.5759262646648087,
31,6,2.5759262646648087,
32,6,2.5759262646648087,
33,6,2.5759262646648087,
34,6,2.5759262646648087,
35,6,2.5759262646648087,
36,6,2.5759262646648087,
37,6,2.5759262646648087,
38,6,2.5759262646648087,
39,6,2.5759262646648087,
40,6,2.5759262646648087,
41,6,2.5759262646648087,
42,6,2.5759262646648087,
43,6,2.5759262646648087,
44,6,2.5759262646648087,
45,6,2.5759262646648087,
46,6,2.5759262646648087,
47,6,2.5759262646648087,
48,6,2.5759262646648087,
49,6,2.5759262646648087,
50,6,2.5759262646648087,
51,6,2.5759262646648087,
52,6,2.5759262646648087,
53,6,2.5759262646648087,
54,6,2.5759262646648087,
55,6,2.5759262646648087,
56,6,2.5759262646648087,
57,6,2.5759262646648087,
58,6,2.5759262646648087,
59,6,2.5759262646648087,
60,6,2.7657053816357333,
61,6,2.7657053816357333,
62,6,2.7657053816357333,
63,6,2.7657053816357333,
64,6,2.7657053816357333,
65,6,2.7657053816357333,
66,6,2.7657053816357333,
67,6,2.7657053816357333,
68,6,2.7657053816357333,
69,6,2.7657053816357333,
70,6,2.7657053816357333,
71,6,2.7657053816357333,
72,6,2.7657053816357333,
73,6,2.7657053816357333,
74,6,2.7657053816357333,
75,6,2.7657053816357333,
76,6,2.7657053816357333,
77,6,2.7657053816357333,
78,6,2.7657053816357333,
79,6,2.7657053816357333,
80,6,2.7657053816357333,
81,6,2.7657053816357333,
82,6,2.7657053816357333,
83,6,2.7657053816357333,
84,6,2.7657053816357333,
85,6,2.7657053816357333,
86,6,2.7657053816357333,
87,6,2.7657053816357333,
88,6,2.7657053816357333,
89,6,2.7657053816357333,
90,6,2.7657053816357333,
91,6,2.7657053816357333,
92,6,2.7657053816357333,
93,6,2.7657053816357333,
94,6,2.7657053816357333,
95,6,2.7657053816357333,
96,6,2.7657053816357333,
97,6,2.7657053816357333,
98,6,2.7657053816357333,
99,6,2.7657053816357333,
