Iteration,Number of data points,Number of pareto points queries,GD,IGD,MPFE,Point chosen
1,6,1,0.38594051640014965,0.49637704365130353,0.9410103111841687,686
2,7,2,0.2894553873001122,0.48236977246011975,0.9410103111841687,205
3,8,2,0.33969418561069586,0.4344002079915833,0.9410103111841687,706
4,9,3,0.2830784880089132,0.4181124963919674,0.9410103111841687,184
5,10,3,0.2830784880089132,0.4181124963919674,0.9410103111841687,31
6,11,3,0.2830784880089132,0.4181124963919674,0.9410103111841687,374
7,12,3,0.2830784880089132,0.4181124963919674,0.9410103111841687,7
8,13,4,0.2426387040076399,0.41670081663737263,0.9410103111841687,80
9,14,4,0.22290424187634178,0.22285384010609735,0.9410103111841687,585
10,15,4,0.20391484401992582,0.22285384010609735,0.7890951283328409,747
11,16,4,0.1869126190601376,0.16848267129114528,0.7890951283328409,678
12,17,4,0.2011016277647582,0.16625803129256253,0.7890951283328409,646
13,18,5,0.18281966160432564,0.16031689570456562,0.7890951283328409,690
14,19,5,0.17803732505568903,0.160280192786583,0.7890951283328409,772
15,20,5,0.16868258150698512,0.15824652680214474,0.7890951283328409,145
16,21,5,0.16868258150698512,0.15824652680214474,0.7890951283328409,779
17,22,5,0.16868258150698512,0.15824652680214474,0.7890951283328409,187
18,23,5,0.16868258150698512,0.15824652680214474,0.7890951283328409,422
19,24,5,0.16868258150698512,0.15824652680214474,0.7890951283328409,426
20,25,5,0.16868258150698512,0.15824652680214474,0.7890951283328409,777
21,26,6,0.16758468980396515,0.15805278120749416,0.7890951283328409,104
22,27,6,0.16758468980396515,0.15805278120749416,0.7890951283328409,726
23,28,6,0.1302195866929145,0.15009349281695727,0.7890951283328409,669
24,29,6,0.1302195866929145,0.15009349281695727,0.7890951283328409,724
25,30,6,0.1302195866929145,0.15009349281695727,0.7890951283328409,61
26,31,6,0.1302195866929145,0.15009349281695727,0.7890951283328409,524
27,32,6,0.1052318602801567,0.1353375124245634,0.7890951283328409,43
28,33,6,0.1052318602801567,0.1353375124245634,0.7890951283328409,346
29,34,6,0.1052318602801567,0.1353375124245634,0.7890951283328409,778
30,35,6,0.10139780540473968,0.12868451850658924,0.7890951283328409,673
31,36,6,0.10139780540473968,0.12868451850658924,0.7890951283328409,776
32,37,7,0.0935979742197597,0.1286386814257228,0.7890951283328409,691
33,38,7,0.0935979742197597,0.1286386814257228,0.7890951283328409,775
34,39,7,0.0935979742197597,0.1286386814257228,0.7890951283328409,722
35,40,7,0.0935979742197597,0.1286386814257228,0.7890951283328409,689
36,41,7,0.0935979742197597,0.1286386814257228,0.7890951283328409,556
37,42,7,0.0935979742197597,0.1286386814257228,0.7890951283328409,34
38,43,7,0.09076289251576553,0.1208120723487436,0.7890951283328409,15
39,44,7,0.09076289251576553,0.1208120723487436,0.7890951283328409,685
40,45,7,0.09076289251576553,0.1208120723487436,0.7890951283328409,533
41,46,7,0.09076289251576553,0.1208120723487436,0.7890951283328409,378
42,47,8,0.08471203301471449,0.12072937406192535,0.7890951283328409,541
43,48,8,0.08471203301471449,0.12072937406192535,0.7890951283328409,479
44,49,8,0.08471203301471449,0.12072937406192535,0.7890951283328409,403
45,50,9,0.07941753095129482,0.11958424377460411,0.7890951283328409,688
46,51,10,0.07623660473993034,0.11635720189539582,0.7890951283328409,90
47,52,10,0.07623660473993034,0.11635720189539582,0.7890951283328409,199
48,53,10,0.07623660473993034,0.11635720189539582,0.7890951283328409,165
49,54,10,0.07623660473993034,0.11635720189539582,0.7890951283328409,774
50,55,11,0.07175209857875797,0.10903785590794193,0.7890951283328409,204
51,56,12,0.0690309525190275,0.10899054201140171,0.7890951283328409,782
52,57,13,0.06519589960130374,0.10743036673091197,0.7890951283328409,781
53,58,13,0.06519589960130374,0.10743036673091197,0.7890951283328409,373
54,59,13,0.06519589960130374,0.10743036673091197,0.7890951283328409,158
55,60,13,0.06519589960130374,0.10743036673091197,0.7890951283328409,773
56,61,14,0.061764536464393026,0.10593203867620132,0.7890951283328409,684
57,62,14,0.061764536464393026,0.10593203867620132,0.7890951283328409,181
58,63,14,0.061764536464393026,0.10593203867620132,0.7890951283328409,164
59,64,14,0.061764536464393026,0.10593203867620132,0.7890951283328409,354
60,65,14,0.061764536464393026,0.10593203867620132,0.7890951283328409,515
61,66,15,0.058676309641173374,0.10521677554065717,0.7890951283328409,506
62,67,15,0.058676309641173374,0.10521677554065717,0.7890951283328409,771
63,68,15,0.058676309641173374,0.10521677554065717,0.7890951283328409,345
64,69,16,0.055882199658260356,0.10454389681221604,0.7890951283328409,499
65,70,16,0.055882199658260356,0.10454389681221604,0.7890951283328409,123
66,71,16,0.08343568327357435,0.10454389681221604,0.7890951283328409,622
67,72,17,0.07980804487037547,0.10253640200480786,0.7890951283328409,681
68,73,18,0.07746426963716498,0.11712095580294263,0.7890951283328409,783
69,74,18,0.07746426963716498,0.11712095580294263,0.7890951283328409,723
70,75,18,0.07746426963716498,0.11712095580294263,0.7890951283328409,687
71,76,18,0.07746426963716498,0.11712095580294263,0.7890951283328409,47
72,77,19,0.07423659173561643,0.11661046261571842,0.7890951283328409,520
73,78,19,0.07262338702760228,0.0977694700773529,0.7890951283328409,106
74,79,19,0.0732284927402584,0.09747842732095346,0.7890951283328409,138
75,80,19,0.0732284927402584,0.09747842732095346,0.7890951283328409,497
76,81,19,0.0732284927402584,0.09747842732095346,0.7890951283328409,141
77,82,19,0.07067756120942614,0.09713823410494124,0.7890951283328409,529
78,83,19,0.06841737305483069,0.09709669488261746,0.7890951283328409,173
79,84,19,0.06841737305483069,0.09709669488261746,0.7890951283328409,770
80,85,19,0.06841737305483069,0.09709669488261746,0.7890951283328409,38
81,86,19,0.06856135754940529,0.08713179871454091,0.7890951283328409,530
82,87,19,0.06856135754940529,0.08713179871454091,0.7890951283328409,500
83,88,19,0.06856135754940529,0.08713179871454091,0.7890951283328409,132
84,89,19,0.06856135754940529,0.08713179871454091,0.7890951283328409,566
85,90,19,0.06856135754940529,0.08713179871454091,0.7890951283328409,461
86,91,19,0.06856135754940529,0.08713179871454091,0.7890951283328409,433
87,92,19,0.06856135754940529,0.08713179871454091,0.7890951283328409,42
88,93,20,0.06627597896442511,0.0868926940965847,0.7890951283328409,511
89,94,20,0.06627597896442511,0.0868926940965847,0.7890951283328409,725
90,95,20,0.06627597896442511,0.0868926940965847,0.7890951283328409,683
91,96,20,0.06627597896442511,0.0868926940965847,0.7890951283328409,163
92,97,21,0.06815633567738665,0.08683547947053041,0.7890951283328409,780
93,98,22,0.06588445782147376,0.08600648885293116,0.7890951283328409,769
94,99,22,0.06588445782147376,0.08600648885293116,0.7890951283328409,488
95,100,22,0.06588445782147376,0.08600648885293116,0.7890951283328409,559
96,101,22,0.06588445782147376,0.08600648885293116,0.7890951283328409,131
97,102,22,0.06462247354045755,0.07414412668724085,0.7890951283328409,546
98,103,22,0.06462247354045755,0.07414412668724085,0.7890951283328409,430
99,104,22,0.06354034421756541,0.07243686000006151,0.7890951283328409,602
