Iteration,Number of data points,Number of pareto points queries,GD,IGD,MPFE,Point chosen
1,6,1,0.19787394570480182,0.35211586175168336,0.6678657891611258,80
2,7,1,0.17783116592825066,0.3340603087696845,0.6678657891611258,79
3,8,2,0.04353947147262767,0.1986775051932075,0.09654061884501576,784
4,9,2,0.04353947147262767,0.1986775051932075,0.09654061884501576,637
5,10,2,0.04077972473703678,0.1775947260666874,0.09654061884501576,778
6,11,2,0.037746965770670236,0.17748946773057211,0.09654061884501576,779
7,12,2,0.037746965770670236,0.17748946773057211,0.09654061884501576,777
8,13,2,0.037746965770670236,0.17748946773057211,0.09654061884501576,8
9,14,2,0.035663195682952974,0.15646728533279256,0.09654061884501576,62
10,15,2,0.03467823558565073,0.15689262899683068,0.09654061884501576,187
11,16,3,0.030343456137444387,0.1490655590232791,0.09654061884501576,511
12,17,3,0.030343456137444387,0.1490655590232791,0.09654061884501576,354
13,18,3,0.040968104979686934,0.14500996943632968,0.12596529571762732,515
14,19,3,0.040968104979686934,0.14500996943632968,0.12596529571762732,776
15,20,3,0.04205730715012837,0.14522563167973118,0.12596529571762732,145
16,21,4,0.04041046959559843,0.14572625433433414,0.12596529571762732,104
17,22,4,0.052949611012539505,0.1456129234887753,0.1532627423480681,76
18,23,5,0.030708311214911563,0.14315522476198606,0.12596529571762732,204
19,24,5,0.030708311214911563,0.14315522476198606,0.12596529571762732,61
20,25,5,0.030708311214911563,0.14315522476198606,0.12596529571762732,774
21,26,5,0.02777998123634221,0.14047190516147648,0.12596529571762732,529
22,27,5,0.02777998123634221,0.14047190516147648,0.12596529571762732,199
23,28,6,0.025001983112707987,0.13975664202593235,0.12596529571762732,506
24,29,6,0.025001983112707987,0.13975664202593235,0.12596529571762732,262
25,30,6,0.025001983112707987,0.13975664202593235,0.12596529571762732,775
26,31,6,0.025122729845592405,0.13627151358063586,0.12596529571762732,722
27,32,7,0.013671339325808106,0.13550673980546227,0.09654061884501576,541
28,33,7,0.013671339325808106,0.13550673980546227,0.09654061884501576,163
29,34,7,0.013671339325808106,0.13550673980546227,0.09654061884501576,773
30,35,7,0.013671339325808106,0.13550673980546227,0.09654061884501576,5
31,36,7,0.013671339325808106,0.13550673980546227,0.09654061884501576,770
32,37,8,0.0048949194308066735,0.13348544529523232,0.0263301971744366,667
33,38,9,0.0025012651422215283,0.12697693046392816,0.023160575156649425,691
34,39,9,0.0025012651422215283,0.12697693046392816,0.023160575156649425,119
35,40,9,0.0024443219351946636,0.1187765749036973,0.023160575156649425,97
36,41,9,0.0024443219351946636,0.1187765749036973,0.023160575156649425,772
37,42,9,0.009110863659511291,0.1187765749036973,0.08910936435131081,123
38,43,10,0.008460087683831913,0.11866186720184574,0.08910936435131081,690
39,44,10,0.008388901363626668,0.11837037582031033,0.08910936435131081,173
40,45,10,0.008388901363626668,0.11837037582031033,0.08910936435131081,463
41,46,10,0.008388901363626668,0.11837037582031033,0.08910936435131081,74
42,47,11,0.007864595028400001,0.11496219238275703,0.08910936435131081,681
43,48,11,0.012599391530062438,0.11496219238275703,0.08910936435131081,138
44,49,12,0.007357664215279449,0.11487949409593878,0.08835613555666141,205
45,50,12,0.007357664215279449,0.11487949409593878,0.08835613555666141,117
46,51,12,0.007357664215279449,0.11487949409593878,0.08835613555666141,689
47,52,13,0.006948905092208368,0.11259594406471293,0.08835613555666141,688
48,53,13,0.006948905092208368,0.11259594406471293,0.08835613555666141,164
49,54,13,0.006948905092208368,0.11259594406471293,0.08835613555666141,687
50,55,13,0.006948905092208368,0.11259594406471293,0.08835613555666141,38
51,56,13,0.009383333384268567,0.1070221556537146,0.08835613555666141,594
52,57,14,0.008914166715055138,0.1055650058812745,0.08835613555666141,686
53,58,14,0.008914166715055138,0.1055650058812745,0.08835613555666141,92
54,59,14,0.008914166715055138,0.1055650058812745,0.08835613555666141,533
55,60,14,0.012122371136995044,0.10527518582632375,0.08835613555666141,141
56,61,15,0.011571354267131633,0.10489198008324709,0.08835613555666141,90
57,62,15,0.011571354267131633,0.10489198008324709,0.08835613555666141,497
58,63,15,0.011571354267131633,0.10489198008324709,0.08835613555666141,500
59,64,15,0.011571354267131633,0.10489198008324709,0.08835613555666141,524
60,65,15,0.011571354267131633,0.10489198008324709,0.08835613555666141,47
61,66,15,0.011571354267131633,0.10489198008324709,0.08835613555666141,120
62,67,15,0.011571354267131633,0.10489198008324709,0.08835613555666141,723
63,68,16,0.008103787922777399,0.10357325936659478,0.08835613555666141,499
64,69,17,0.007751449317439251,0.10243226215963867,0.08835613555666141,684
65,70,17,0.007751449317439251,0.10243226215963867,0.08835613555666141,771
66,71,17,0.007751449317439251,0.10243226215963867,0.08835613555666141,158
67,72,17,0.007751449317439251,0.10243226215963867,0.08835613555666141,685
68,73,17,0.007751449317439251,0.10243226215963867,0.08835613555666141,93
69,74,17,0.007559666815525325,0.10226117975921277,0.08835613555666141,131
70,75,18,0.007257280142904312,0.10158830103077165,0.08835613555666141,184
71,76,19,0.006978153983561839,0.1007593104131724,0.08835613555666141,769
72,77,19,0.006978153983561839,0.1007593104131724,0.08835613555666141,485
73,78,19,0.006978153983561839,0.1007593104131724,0.08835613555666141,724
74,79,19,0.006978153983561839,0.1007593104131724,0.08835613555666141,725
75,80,19,0.006978153983561839,0.1007593104131724,0.08835613555666141,554
76,81,19,0.006978153983561839,0.1007593104131724,0.08835613555666141,613
77,82,19,0.006978153983561839,0.1007593104131724,0.08835613555666141,430
78,83,19,0.006978153983561839,0.1007593104131724,0.08835613555666141,100
79,84,19,0.006978153983561839,0.1007593104131724,0.08835613555666141,53
80,85,19,0.006978153983561839,0.1007593104131724,0.08835613555666141,26
81,86,19,0.006978153983561839,0.1007593104131724,0.08835613555666141,160
82,87,19,0.006978153983561839,0.1007593104131724,0.08835613555666141,114
83,88,20,0.006857051319273184,0.10071300645329732,0.08835613555666141,520
84,89,21,0.0066030864555963985,0.10039271040749302,0.08835613555666141,682
85,90,22,0.0063672619393250985,0.09161097994100281,0.08835613555666141,168
86,91,22,0.0063672619393250985,0.09161097994100281,0.08835613555666141,768
87,92,22,0.0063672619393250985,0.09161097994100281,0.08835613555666141,683
88,93,23,0.005540098540873333,0.09117533440845114,0.08835613555666141,788
89,94,23,0.005540098540873333,0.09117533440845114,0.08835613555666141,373
90,95,23,0.005540098540873333,0.09117533440845114,0.08835613555666141,15
91,96,23,0.005540098540873333,0.09117533440845114,0.08835613555666141,673
92,97,23,0.005540098540873333,0.09117533440845114,0.08835613555666141,201
93,98,23,0.005540098540873333,0.09117533440845114,0.08835613555666141,24
94,99,23,0.005610560124701655,0.09116735672971696,0.08835613555666141,539
95,100,23,0.005610560124701655,0.09116735672971696,0.08835613555666141,488
96,101,23,0.005610560124701655,0.09116735672971696,0.08835613555666141,181
97,102,24,0.005310263883552322,0.09130847945903248,0.08835613555666141,780
98,103,24,0.005310263883552322,0.09130847945903248,0.08835613555666141,562
99,104,25,0.005120611601996882,0.09099455786226192,0.08835613555666141,782
