Iteration,Number of data points,Number of pareto points queries,GD,IGD,MPFE,Point chosen
36,41,8,0.06009194588758779,0.12452841455435527,0.23246013555687084,788
37,42,8,0.05704243378119986,0.12341255379741227,0.23246013555687084,47
38,43,8,0.05704243378119986,0.12341255379741227,0.23246013555687084,466
39,44,8,0.05704243378119986,0.12341255379741227,0.23246013555687084,15
40,45,8,0.05704243378119986,0.12341255379741227,0.23246013555687084,773
41,46,8,0.05704243378119986,0.12341255379741227,0.23246013555687084,533
42,47,8,0.05704243378119986,0.12341255379741227,0.23246013555687084,772
43,48,8,0.05704243378119986,0.12341255379741227,0.23246013555687084,689
44,49,8,0.05704243378119986,0.12341255379741227,0.23246013555687084,429
45,50,9,0.05080484448141794,0.10039153908274046,0.23246013555687084,591
46,51,10,0.03705719403846157,0.0895713677764542,0.23246013555687084,517
47,52,10,0.0372829360122003,0.08940303635772677,0.23246013555687084,679
48,53,10,0.0372829360122003,0.08940303635772677,0.23246013555687084,160
49,54,11,0.03521166178930028,0.08868777322218264,0.23246013555687084,506
50,55,11,0.03521166178930028,0.08868777322218264,0.23246013555687084,671
51,56,12,0.030261141547560804,0.08860507493536438,0.23246013555687084,205
52,57,12,0.030261141547560804,0.08860507493536438,0.23246013555687084,683
53,58,13,0.028668449887162866,0.08745994464804314,0.23246013555687084,688
54,59,13,0.028668449887162866,0.08745994464804314,0.23246013555687084,524
55,60,13,0.028668449887162866,0.08745994464804314,0.23246013555687084,497
56,61,14,0.02723502739280472,0.08604826489344836,0.23246013555687084,80
57,62,14,0.02723502739280472,0.08604826489344836,0.23246013555687084,430
58,63,15,0.015612020614961175,0.08146398278185944,0.21820932945999247,32
59,64,15,0.015612020614961175,0.08146398278185944,0.21820932945999247,92
60,65,16,0.014868591061867786,0.07413844779742605,0.21820932945999247,600
61,66,16,0.014868591061867786,0.07413844779742605,0.21820932945999247,720
62,67,16,0.014868591061867786,0.07413844779742605,0.21820932945999247,117
63,68,16,0.014868591061867786,0.07413844779742605,0.21820932945999247,431
64,69,17,0.014192746013601069,0.07231150820575648,0.21820932945999247,682
65,70,17,0.014192746013601069,0.07231150820575648,0.21820932945999247,164
66,71,17,0.014192746013601069,0.07231150820575648,0.21820932945999247,762
67,72,17,0.014192746013601069,0.07231150820575648,0.21820932945999247,661
68,73,17,0.014192746013601069,0.07231150820575648,0.21820932945999247,771
