Number of ramps,mse,nlpd,Ramp chosen,Iteration
0,,,59,0.0
1,,,15,0.0
2,,,84,0.0
3,,,19,0.0
4,,,27,0.0
6,0.05837795840400695,-3.655964901755386,67,1.0
7,0.056091370615170506,-3.663947847493366,35,2.0
8,0.05501307235052027,-3.717513119453023,86,3.0
9,0.04719673910581186,-4.135009429854718,8,4.0
10,0.04643171948872623,-4.065544039768666,74,5.0
11,0.04370815978903934,-4.230930055429088,79,6.0
12,0.047972817232827945,-4.199302069051818,76,7.0
13,0.04812978614196676,-4.234438190797692,9,8.0
14,0.04771024532526385,-4.317193482574442,39,9.0
15,0.04581146421814366,-4.691200356099561,21,10.0
16,0.04457080393754289,-4.813430182806567,36,11.0
17,0.038828624836960625,-5.0415311715760245,3,12.0
18,0.03395712963896596,-5.396115704236572,32,13.0
19,0.023038524979906983,-6.277758774750464,85,14.0
20,0.023012251108171948,-6.1393285737224215,26,15.0
21,0.0244413388198962,-6.170556294997694,4,16.0
22,0.019134800900636136,-6.882047586392498,55,17.0
23,0.02478899091249987,-5.938514994028125,77,18.0
24,0.01954194653417887,-6.43412682728819,68,19.0
25,0.020920647962911623,-6.539750820577279,61,20.0
26,0.024118636815263723,-5.9266434491257165,52,21.0
27,0.021666724431115326,-5.704039270643103,0,22.0
28,0.023678222781243926,-5.6316647278154095,47,23.0
29,0.01122466089088133,-6.49047333569387,6,24.0
30,0.02263432780108881,-5.752276866317662,56,25.0
31,0.026518530695520758,-5.784491543434731,71,26.0
32,0.021435503178866114,-5.906840668743876,17,27.0
33,0.024239215707576825,-5.886202203652034,11,28.0
34,0.027755640675077832,-6.005744605879804,62,29.0
35,0.02659773409911451,-6.126574674422249,16,30.0
36,0.022855938625864124,-6.087927402455412,58,31.0
37,0.024956435957345695,-6.263785322934865,81,32.0
38,0.01719488950549496,-6.177918629757761,23,33.0
39,0.022732829871344052,-6.574154172722932,72,34.0
40,0.021423803717772465,-6.629634499538507,44,35.0
41,0.019346615502530178,-6.761544134167088,13,36.0
42,0.02080536777454122,-6.777468178677998,33,37.0
43,0.016571909081779645,-6.721563996986414,63,38.0
44,0.016506340212215448,-6.993614179822056,34,39.0
45,0.0159764376091168,-6.836907981065402,43,40.0
46,0.015965500754478543,-7.2248152032755355,24,41.0
47,0.0154473848829013,-7.269467636704528,28,42.0
48,0.014601956312406966,-7.391037356290604,50,43.0
49,0.015374943721501465,-7.5062243789627034,20,44.0
50,0.014034975333451355,-7.615753350122623,29,45.0
51,0.013389029716539581,-7.719901664502881,38,46.0
52,0.013345128820029441,-7.763109513582995,10,47.0
53,0.012996312757892028,-7.378244274237015,45,48.0
54,0.01296572475141303,-7.470482852200045,69,49.0
55,0.012309735085645378,-7.528133031348016,41,50.0
56,0.010519643746271748,-7.6129803497605355,49,51.0
57,0.010367959794766464,-7.724611684936038,78,52.0
58,0.009418393746870375,-7.844882581874512,31,53.0
59,0.009018007426334074,-7.9070643152606195,82,54.0
60,0.008753083764189753,-8.035798043317888,60,55.0
61,0.008411629696631567,-8.087385586088507,2,56.0
62,0.008111214371627642,-8.131960932005493,5,57.0
63,0.007915854489041918,-8.190933474143034,1,58.0
64,0.0076259641700562,-8.577986499508249,40,59.0
65,0.007693674673766584,-8.425033413308379,18,60.0
66,0.007432474811519544,-8.137189656094929,66,61.0
67,0.007025323322133831,-7.995177455357132,80,62.0
68,0.007241310407199824,-7.920367188162389,83,63.0
69,0.006110342601103225,-8.554817220844315,25,64.0
70,0.006291016661519729,-8.03765426405836,73,65.0
71,0.006083045932890949,-8.250637410596463,12,66.0
72,0.006178776109721608,-8.23414833874542,46,67.0
73,0.005984872409433514,-8.35355424168743,37,68.0
74,0.005586300534866744,-8.432512805657614,30,69.0
75,0.004335473097556829,-8.593727223950754,57,70.0
76,0.0036104432164595366,-8.6732588344344,75,71.0
77,0.003485546440272848,-8.717043171858865,7,72.0
78,0.0032033855478924376,-8.786077703391213,53,73.0
79,0.002964365331311241,-8.779792640780228,22,74.0
80,0.0023853338306995507,-8.972327353958354,48,75.0
81,0.002216184577892251,-9.091926212491318,51,76.0
82,0.0019478167354541602,-9.143218039969112,42,77.0
83,0.0016945277379345652,-9.189602576613211,54,78.0
84,0.0015775546429042933,-9.29321669988726,65,79.0
85,0.00131350252232413,-9.304827512183827,70,80.0
86,0.0008891480518341206,-9.420917174001037,14,81.0
87,0.0006449788612967612,-9.47053969809287,64,82.0
