Number of ramps,mse,nlpd,Ramp chosen,Iteration
0,,,15,0.0
1,,,67,0.0
2,,,7,0.0
3,,,20,0.0
4,,,86,0.0
6,0.05942180311711588,-3.541599237669782,80,1.0
7,0.05645685991237929,-3.673462468057959,40,2.0
8,0.05471496635583114,-3.767377542835208,39,3.0
9,0.023765520699622514,-4.262178554010788,55,4.0
10,0.027142399974981486,-4.298836767485261,8,5.0
11,0.0381046453749335,-4.3412859474581555,35,6.0
12,0.0323413632293161,-5.05337516916814,4,7.0
13,0.030349611021076,-5.044239016130397,46,8.0
14,0.026265223757116693,-5.113727239143048,85,9.0
15,0.03252911023819165,-5.300681954891122,6,10.0
16,0.034213317937807915,-5.616911194586548,5,11.0
17,0.036169182494160144,-5.4546890627917435,14,12.0
18,0.03297902516819951,-5.475071650560583,43,13.0
19,0.025611435658131308,-5.536367604090844,59,14.0
20,0.028612406951866065,-5.691571216212537,3,15.0
21,0.026871962332323977,-5.698895743406745,24,16.0
22,0.02624966564058792,-5.807095309825514,23,17.0
23,0.025362992067527033,-6.331962803248722,44,18.0
24,0.02504038073666342,-6.36680420610725,47,19.0
25,0.024492976622858206,-6.4044582433454424,22,20.0
26,0.026705888073461578,-6.044591691098215,57,21.0
27,0.03167393264337296,-5.932649522509081,81,22.0
28,0.026588972771753348,-5.917339444084528,71,23.0
29,0.02118717791711799,-6.087291952966308,56,24.0
30,0.024872974547118704,-6.122411204650861,58,25.0
31,0.023554404778279265,-6.247202440126283,51,26.0
32,0.02352097022648129,-6.2514827035586915,50,27.0
33,0.022588496239963746,-6.348513379306832,79,28.0
34,0.02177062861708733,-6.474471011906847,49,29.0
35,0.023085004318228467,-6.496703630607678,82,30.0
36,0.022632079007057975,-6.598427209870703,29,31.0
37,0.019995434866394306,-6.6596194620737394,74,32.0
38,0.01521395891983132,-6.939639588204361,42,33.0
39,0.014300790559499874,-6.9674877667878965,45,34.0
40,0.01696024396756416,-7.13969869464132,0,35.0
41,0.015405955373558822,-7.223955684075956,68,36.0
42,0.018321687559266372,-7.177155574279016,27,37.0
43,0.01444207919531454,-7.457363500517118,78,38.0
44,0.016377723390572443,-7.22248934162804,26,39.0
45,0.013618250179028084,-7.553771015397754,70,40.0
46,0.013956994223959662,-7.456511542560392,1,41.0
47,0.016657779892195343,-7.585211377247693,18,42.0
48,0.012447575927442304,-7.764882743314658,21,43.0
49,0.01349986540535933,-7.8253066316166775,62,44.0
50,0.00938626277781817,-8.02384597306762,63,45.0
51,0.008390798288079385,-8.087683529646391,48,46.0
52,0.010107270975091068,-8.063834334649203,30,47.0
53,0.010911045349555754,-8.213996740836677,37,48.0
54,0.010223509634755702,-8.414307956790221,2,49.0
55,0.009547642470103864,-8.449877163453547,33,50.0
56,0.009479283059794457,-8.494632365377608,76,51.0
57,0.009117627963758673,-8.611755552478089,19,52.0
58,0.012795625076333979,-8.623188667435524,66,53.0
59,0.007010845773243683,-9.060242471471184,54,54.0
60,0.006316715242420026,-8.964396747009786,41,55.0
61,0.010169163198045313,-8.479781701947081,64,56.0
62,0.01328532313710513,-8.936124854059457,17,57.0
63,0.012117953273700131,-8.748989984089832,28,58.0
64,0.011653053050226929,-8.841619856009302,32,59.0
65,0.010339573358332521,-9.007816869138098,72,60.0
66,0.008732867335550754,-9.039171685858959,53,61.0
67,0.008340066712365887,-9.20063331210604,83,62.0
68,0.007861015343049726,-9.272677038986767,38,63.0
69,0.007786749132711299,-9.28511731020406,65,64.0
70,0.007716881229821162,-9.328642417034345,25,65.0
71,0.006832687701890838,-9.45564385864976,77,66.0
72,0.006739749783639032,-9.490111493507184,10,67.0
73,0.005519909804034841,-9.263834002940907,36,68.0
74,0.004973820846793467,-9.217332518685112,16,69.0
75,0.004875957797211597,-9.471679119950739,52,70.0
76,0.004656213888942307,-9.240837937360348,13,71.0
77,0.00430187335709743,-9.199976766344193,11,72.0
78,0.0035977297029659372,-9.538020819967315,61,73.0
79,0.002556942485918028,-9.649717170775757,34,74.0
80,0.002310256265617076,-9.144182658173513,69,75.0
81,0.0019462753446538223,-9.22081651683081,75,76.0
82,0.0018306643651773659,-9.267386343002304,31,77.0
83,0.001720904693508975,-9.306198107262524,12,78.0
84,0.001231109719492337,-9.377122855669505,84,79.0
85,0.0008311733090230295,-9.412864121212289,9,80.0
86,0.0006467684520790871,-9.469533142183487,73,81.0
87,0.0005287112562938385,-9.509237583675556,60,82.0
