Number of ramps,mse,nlpd,Ramp chosen,Iteration
0,,,37,0.0
1,,,66,0.0
2,,,47,0.0
3,,,70,0.0
4,,,44,0.0
6,0.05920077129287415,-3.7982189968503097,62,1.0
7,0.05837303102289558,-3.8237333519157723,42,2.0
8,0.058405315478524907,-3.9158992267132064,69,3.0
9,0.029464611119245875,-5.256108237982944,18,4.0
10,0.021955294543481118,-4.526993960072698,9,5.0
11,0.05699863316035614,-4.18783667172054,33,6.0
12,0.016981802749377745,-4.682802545284239,60,7.0
13,0.023726786569044023,-3.8100191360856765,24,8.0
14,0.05888699912591887,-4.407344030427562,51,9.0
15,0.02385347736915389,-3.521691514039292,71,10.0
16,0.015525160237233212,-2.9254823538185666,7,11.0
17,0.012466177995410633,0.7874516520132653,5,12.0
18,0.022399731051342034,-3.13291221686681,38,13.0
19,0.020451619464506285,-3.7903359804572117,14,14.0
20,0.0178515775520637,-4.6848269402022185,29,15.0
21,0.018463564788660937,-3.6789278611442935,56,16.0
22,0.01912319894564046,-3.4893384600681436,0,17.0
23,0.010316487720965908,-5.3368954646308975,58,18.0
24,0.01023841223051715,-5.365661701547024,65,19.0
25,0.011390125931537445,-6.205248878268623,49,20.0
26,0.00940937363466963,-4.7353075863782985,16,21.0
27,0.010256676631145132,-5.082824771542574,40,22.0
28,0.008709661311325606,-6.268471416146037,31,23.0
29,0.011420039403293229,-5.740242895798302,53,24.0
30,0.007297018270476921,-6.225249128542256,2,25.0
31,0.008550901743655697,-6.027453578655606,11,26.0
32,0.0072131491096899805,-5.992626780582439,35,27.0
33,0.007686024466134599,-6.345054415373396,26,28.0
34,0.007505818114591606,-5.352743090188926,75,29.0
35,0.0071528336957793134,-6.299675777882863,77,30.0
36,0.005525759729857556,-6.533225586952156,63,31.0
37,0.002959869233639937,-6.692429831954735,67,32.0
38,0.0038380551168623366,-6.225825443485643,73,33.0
39,0.011363353820122227,-1.3445644323939836,74,34.0
40,0.006189048342955908,-4.916713939450111,55,35.0
41,0.005918601257861265,-4.362371512530859,28,36.0
42,0.00919241619817423,-2.260265804903464,46,37.0
43,0.007948170006421984,-3.2597125777974356,13,38.0
44,0.0038131319563644798,-4.859437200105296,64,39.0
45,0.004216461267628786,-4.846140373905637,4,40.0
46,0.004903695737294723,-5.2080248728225405,21,41.0
47,0.005416573391357119,-2.8898866836201664,81,42.0
48,0.0029960534556628467,-3.5608837861117713,86,43.0
49,0.004577030979459977,-2.847454117166677,83,44.0
50,0.002779862706339617,-3.56807610432609,85,45.0
51,0.00286527729815458,-7.312462441115493,79,46.0
52,0.0041146450725252,-3.879153127624223,84,47.0
53,0.0036434675009729303,-6.809911322084388,80,48.0
54,0.0035107667554244246,-8.581278062662355,82,49.0
55,0.00555977701833155,-8.148651490956384,22,50.0
56,0.004833852591849932,-8.636585916402208,72,51.0
57,0.0108998816595161,-7.9299358341809185,19,52.0
58,0.0037233994096879932,-8.732281873638739,15,53.0
59,0.0068016708056524286,-8.403864466445906,10,54.0
60,0.005857060408902091,-8.076704565160107,12,55.0
61,0.0029093029153294,-8.407749602577326,17,56.0
62,0.0048988090161310146,-8.14275312509146,6,57.0
63,0.005140989158754238,-8.190989218550085,1,58.0
64,0.010567368854832015,-7.730684482398544,48,59.0
65,0.004589645785536918,-8.519308548702629,43,60.0
66,0.004480296732079534,-9.008107524401543,61,61.0
67,0.004748331988506722,-8.596966406176385,45,62.0
68,0.010030582417205256,-8.171884228020325,20,63.0
69,0.009067873472362068,-8.46004290749819,30,64.0
70,0.00443083116081509,-8.999700646782255,68,65.0
71,0.006686521458609137,-8.817972893926836,25,66.0
72,0.0106443789528564,-8.728761043600207,27,67.0
73,0.010451934088962021,-8.876958980019426,3,68.0
74,0.010391073598883182,-9.034155625757561,76,69.0
75,0.00941063473752704,-9.133129477383338,78,70.0
76,0.008101677693186734,-9.25298318437131,57,71.0
77,0.007602930286046905,-9.317064043037723,52,72.0
78,0.007560512681753176,-9.134837628216596,39,73.0
79,0.006944714829871271,-9.021843070189174,34,74.0
80,0.0068290882526632355,-9.150689421330382,54,75.0
81,0.006800157815305035,-9.24655039213746,36,76.0
82,0.006600403586600397,-9.359635069632263,50,77.0
83,0.006033451652235108,-9.49015227423336,23,78.0
84,0.005605081479053052,-9.754123115251057,32,79.0
85,0.0044441272401119294,-9.843540500839715,8,80.0
86,0.0024518616457943235,-9.476102334814687,59,81.0
87,0.001041352381837433,-9.9146872637675,41,82.0
