Number of ramps,mse,nlpd,Ramp chosen,Iteration
0,,,39,0.0
1,,,61,0.0
2,,,70,0.0
3,,,13,0.0
4,,,9,0.0
6,0.06270962942186908,-3.5910469599010395,62,1.0
7,0.04599267240585384,-2.487838270244252,42,2.0
8,0.05142596818580309,-4.012941070375537,69,3.0
9,0.03947830284798975,-0.8326060937529723,18,4.0
10,0.04556854435781867,-1.7863090018911825,33,5.0
11,0.048814157112506175,-4.159545619110378,60,6.0
12,0.039986245571449905,-2.869697494982369,24,7.0
13,0.03830578531047056,-3.1823700534592168,51,8.0
14,0.03762539793401714,-1.254607640940586,71,9.0
15,0.05269080675039687,-4.110356408391601,7,10.0
16,0.03446321228218343,-4.900518298045079,5,11.0
17,0.027698304730939406,-2.6232510802555216,38,12.0
18,0.026183696446165028,-3.3747228791783197,14,13.0
19,0.026271292517293803,-4.434103976279144,47,14.0
20,0.024536008404518916,-2.551637262244732,29,15.0
21,0.02513191509659786,-4.985007044102691,56,16.0
22,0.022810927793405246,-3.9189428677301543,58,17.0
23,0.019684130502292833,-4.775427477011052,0,18.0
24,0.016117973263737283,-6.166641866829235,65,19.0
25,0.017507058213339186,-5.012724268130924,49,20.0
26,0.011250514825737152,-6.467218826910199,16,21.0
27,0.010430119901614365,-6.469708685022568,40,22.0
28,0.011324993819350577,-4.0945495551576965,31,23.0
29,0.010694172764097402,-6.572029561074108,53,24.0
30,0.012148221187859895,-6.139541447639765,2,25.0
31,0.010782987681411681,-6.562101720102575,44,26.0
32,0.013470476767574539,-6.063167665624613,11,27.0
33,0.010121181452540902,-6.6222115445026555,35,28.0
34,0.011075206407321316,-6.748569388447196,26,29.0
35,0.016806352697301796,-3.348228833446776,75,30.0
36,0.009105068883944644,-5.733548656754455,77,31.0
37,0.007781492826147713,-6.636562194589092,67,32.0
38,0.007627341525641958,-6.870259897916109,63,33.0
39,0.006820406245890612,-7.0472526398618855,73,34.0
40,0.007500248472464889,-6.1980314378766685,74,35.0
41,0.009331519992867177,-4.859911711365647,55,36.0
42,0.007776389501693173,-4.997556276525157,28,37.0
43,0.00746937715620701,-5.463340135724946,46,38.0
44,0.007914611750231617,-2.9650643496998077,64,39.0
45,0.007050906336919784,-5.632733642777242,4,40.0
46,0.006666467491081692,-5.0506505041248255,37,41.0
47,0.008102249240819242,-4.989926454421701,21,42.0
48,0.006921548691897768,-2.412652185124577,12,43.0
49,0.005143167995019995,-4.819438732473343,81,44.0
50,0.004279150623322052,-8.053615115756255,86,45.0
51,0.002808899792248873,-5.723612404993534,83,46.0
52,0.004652770200399813,-8.269543520593851,85,47.0
53,0.00640573601534396,-7.965357951044637,79,48.0
54,0.0034319597138677666,-7.653356825480006,84,49.0
55,0.00589590759216448,-7.826770217627754,80,50.0
56,0.011550164086387305,-7.957625906983847,22,51.0
57,0.004923362821854117,-8.287729833022862,82,52.0
58,0.002654617642296861,-7.719665716636434,72,53.0
59,0.006605480144048576,-8.568064521096831,19,54.0
60,0.012715672438094378,-7.903769041466438,15,55.0
61,0.00314484325840983,-8.563807043106937,10,56.0
62,0.004295228184900963,-8.280929956248889,6,57.0
63,0.0019725844661461632,-8.249763260902515,17,58.0
64,0.0037371921877558415,-8.610128440317684,66,59.0
65,0.0039777229454512125,-8.718913726023402,68,60.0
66,0.0021835662486289686,-8.397534881182668,1,61.0
67,0.0021981147362269988,-9.032669268823609,43,62.0
68,0.003292070508522775,-9.242331653181985,30,63.0
69,0.003576521727987431,-8.795335147127451,48,64.0
70,0.0036521687812206944,-8.96900228426241,45,65.0
71,0.0038582914431795888,-8.733917091115112,25,66.0
72,0.0058966166614642995,-8.709104521604836,20,67.0
73,0.0061284596599137766,-8.778085972673837,27,68.0
74,0.009597478294855643,-8.775839173339135,3,69.0
75,0.008232935910335937,-8.876447951180179,76,70.0
76,0.007143787066296623,-9.333004698316303,78,71.0
77,0.0057371550096475986,-9.254677615223597,57,72.0
78,0.006475016722294933,-9.087217995730935,52,73.0
79,0.006911075212976345,-9.059333320560624,34,74.0
80,0.006787018354889841,-9.173047106900292,54,75.0
81,0.00680052807874473,-9.245688439251982,36,76.0
82,0.006600403586600397,-9.359635069632263,50,77.0
83,0.00607423383768017,-9.474541660209361,23,78.0
84,0.005377913256476626,-9.831551798614651,32,79.0
85,0.003577837748170166,-9.859581353663003,8,80.0
86,0.0021210886016687558,-9.965661325380717,59,81.0
87,0.001058945577688568,-10.036566209576254,41,82.0
