Number of ramps,mse,nlpd,Ramp chosen,Iteration
0,,,42,0.0
1,,,3,0.0
2,,,64,0.0
3,,,81,0.0
4,,,39,0.0
6,0.0667061009017011,-0.2529632737741273,62,1.0
7,0.06635898181663737,-0.054046603483566484,69,2.0
8,0.06819085978216143,0.2184169002218794,18,3.0
9,0.06935348071670545,0.7197477463056285,9,4.0
10,0.06802100139895995,-1.3443632428419785,33,5.0
11,0.06942044285849383,-1.1829528954932684,60,6.0
12,0.07096527298927384,-1.0144642391697043,24,7.0
13,0.0702282479073342,-0.95074851653488,51,8.0
14,0.0721861821916075,-0.8293694870163538,71,9.0
15,0.07215108162602149,-0.6903142146562583,7,10.0
16,0.059848526795032844,-4.01955138118948,5,11.0
17,0.054452243397375755,-4.039664931047223,0,12.0
18,0.053529870494306284,-4.107169662810834,29,13.0
19,0.038369413357341633,-4.94535134863659,38,14.0
20,0.017964004544673957,-4.807374549010988,58,15.0
21,0.019334821502537996,-4.775973133725123,14,16.0
22,0.016368028797965305,-3.7142842628989072,47,17.0
23,0.013538306629748437,-4.944056986475911,56,18.0
24,0.012709831453406742,-6.125544417548366,65,19.0
25,0.017898238323714018,-6.586713372197917,49,20.0
26,0.0145110982712054,-3.5758731269212216,16,21.0
27,0.014353989093422621,-3.217017501574439,40,22.0
28,0.01362104580943205,-4.576182467416146,31,23.0
29,0.013058263694265063,-4.549588365810667,53,24.0
30,0.013453379905368119,-4.01985208025907,2,25.0
31,0.012337899398295313,-3.8137163608004037,44,26.0
32,0.013669567265589093,-0.00517678889344603,11,27.0
33,0.01126448734508614,-5.352546249476792,35,28.0
34,0.012648424312691448,-3.25953383786406,26,29.0
35,0.012115882471960144,-3.5933551153407053,75,30.0
36,0.010902690075827188,-6.475217612112807,77,31.0
37,0.00989292279429393,-6.503648611769166,63,32.0
38,0.01134671444817673,-5.6166089394716145,67,33.0
39,0.008993336903696967,-6.400870287660794,73,34.0
40,0.008677087472550835,-6.339333901797925,74,35.0
41,0.008326690222131205,-5.423585107541186,55,36.0
42,0.007955291147237645,-5.826202019234026,28,37.0
43,0.00732769319055317,-4.4773621663500025,46,38.0
44,0.007900471305049764,-6.136436131203386,13,39.0
45,0.007317730733019326,-7.322129343549879,4,40.0
46,0.00678979193092509,-5.910557785400718,37,41.0
47,0.006711113678064628,-7.608491308227938,21,42.0
48,0.006711273005407634,-7.471730133869139,86,43.0
49,0.007378378919181039,-4.012945260117353,12,44.0
50,0.013978216129235868,-7.412481746485102,70,45.0
51,0.012398085512996978,-7.6652224913632105,83,46.0
52,0.01400905724613907,-7.584883123351851,22,47.0
53,0.009820416533975699,-7.862606704819403,85,48.0
54,0.01054836781193969,-7.902106155534881,79,49.0
55,0.009172690254634925,-8.054060018920094,84,50.0
56,0.010256126305443074,-8.225480901013793,80,51.0
57,0.009052004980526808,-8.361028004100216,82,52.0
58,0.0056442402230611555,-8.676782149357743,72,53.0
59,0.010228046492378809,-8.27727802483674,19,54.0
60,0.008902166735965434,-8.315380551313307,6,55.0
61,0.009875619178649524,-8.123640743109966,15,56.0
62,0.007930497187091377,-8.21761819906805,10,57.0
63,0.009393130055906503,-7.715429305973484,17,58.0
64,0.007707376796285218,-7.5611433163373265,1,59.0
65,0.007076286874372434,-7.790381212292149,20,60.0
66,0.006822595537807563,-8.061170377290614,30,61.0
67,0.006936751194722503,-7.994320769327251,25,62.0
68,0.007049309246593215,-8.100147800590797,27,63.0
69,0.007013966321987868,-8.236735364496022,57,64.0
70,0.00669772052248107,-8.296098774043628,52,65.0
71,0.0066426269996428386,-8.19619832526352,54,66.0
72,0.006395942482450845,-8.008437520965424,76,67.0
73,0.006328242134581599,-8.049891486660856,78,68.0
74,0.004159161126949374,-8.661988962181066,61,69.0
75,0.005002144623344254,-8.72065859201422,66,70.0
76,0.005110958811842334,-8.71194343336506,68,71.0
77,0.004338138912055578,-8.836460857234627,48,72.0
78,0.004119700953117082,-8.93443956126321,43,73.0
79,0.004363120207713015,-9.050444993607742,45,74.0
80,0.004285396307103169,-9.173297074967271,23,75.0
81,0.003986856047894151,-9.279950592626502,34,76.0
82,0.004056427689882611,-9.420202151525777,36,77.0
83,0.004464768319832615,-9.239898711923638,8,78.0
84,0.003907744382811655,-9.685155598376667,32,79.0
85,0.0026604361131090546,-9.176946698174735,59,80.0
86,0.001630984502231385,-9.291602390138626,50,81.0
87,0.0012020179879004766,-9.36932228180934,41,82.0
